FIX_CCTV_ADDR,LAT,LOT,CGG_CD,CRDN_BRNCH_NM,GRNDS_SE
숭인동 61-66,37.576186,127.015656,종로구,창신초교 주변,불법주정차구역
숭인동 316-1,37.571887,127.01586,종로구,동묘앞역 6호선 5번출구 주변,불법주정차구역
종로구 사간동 70,37.5778976166451,126.9797005108794,종로구,국립현대미술관 주변,불법주정차구역
동숭동 1-111,37.580814,127.003334,종로구,아르코미술관 주변,불법주정차구역
종로구 봉익동 60,37.571613,126.993791,종로구,삼정 금은보석도매상가 주변,불법주정차구역
종로구 청운동 30-15,37.58840298308305,126.96845742150404,종로구,청운공원 1(자하문로35길) 주변,불법주정차구역
종로구 혜화동 111-3,37.585924,127.001020,종로구,혜화동우체국 주변,불법주정차구역
종로구 혜화동 74-30,37.586550,127.000312 ,종로구,혜화동주민센터 주변,불법주정차구역
종로구 무악동 46-82,37.573834,126.960538,종로구,독립문초교 정문 주변,불법주정차구역
주변,37.59047439470533,126.9653513140992,종로구,청운공원 2(자하문로35길) 주변,불법주정차구역
주변,37.589447249463106,126.9653036697107,종로구,청운공원 3(자하문로35길) 주변,불법주정차구역
종로구 낙원동 1,37.5742227450528,126.987616519226,종로구,교동초교 정문 주변(어린이39) ,불법주정차구역
종로구 내수동 110,37.573411140439,126.971166578184,종로구,경희궁4길 경희궁의아침2단지아파트 주변,불법주정차구역
종로구 혜화동 13-1,37.588391, 126.999717,종로구,혜화초교 정문 주변,불법주정차구역
종로구 신문로2가 108-1,37.5687030064764,126.97198395166,종로구,덕수궁디팰리스아파트 주변,불법주정차구역
종로구 창신동 618-1,37.578781,127.008671,종로구,창신제일어린이집 주변,불법주정차구역
종로구 행촌동 1-69,37.572879,126.965194,종로구,상록수어린이집 주변,불법주정차구역
종로구 숭인동 753,37.576939,127.022001,종로구,도담도담어린이집 주변,불법주정차구역
종로구 교남동 7,37.5674151698227,126.965676387192,종로구,경희궁자이3단지아파트 주변,불법주정차구역
종로구 창신동 670,37.572270,127.009597,종로구,동인교회 주변,불법주정차구역
종로구 익선동 34,37.574145,126.988952,종로구,종로세무서 주변,불법주정차구역
종로구 창신동 567,37.572203,127.010709,종로구,우리마트 동대문점 주변 ,불법주정차구역
종로구 계동 142-1,37.57848202416712,126.98685794147917,종로구,현대건설(계동길23) 주변,불법주정차구역
종로구 명륜2가 113,37.5846828301961,126.99766035822,종로구,유림경로당 주변,불법주정차구역
종로구 종로5가 467,37.56986235924587,127.0055168494243,종로구,신진시장(청계천로) 주변,불법주정차구역
종로구 무악동 66-3,37.575708,126.957199,종로구,올리비움 산후조리원 주변,불법주정차구역
종로구 부암동 48-35,37.59317321494262,126.96656162880075,종로구,인왕 북악 스카이웨이 삼거리 주변,불법주정차구역
종로구 숭인동 232-29,37.571355,127.019049,종로구,동일상가아파트 주변,불법주정차구역
종로구 종로6가 146-1,37.571951,127.006676,종로구,종로 6가 종로꽃시장 주변,불법주정차구역
종로구 숭인동 204-2,37.57219628080437,127.02193366273538,종로구,청계천로397(숭인상가아파트) 주변,불법주정차구역
종로구 동숭동 31-19,37.580228346805015,127.00447324403173,종로구,동숭길 48 (정화예대 정화1관) 주변,불법주정차구역
종로구 예지동 189-8,37.56915969847825,126.99823558691783,종로구,청계4가 배오개다리(청계천로) 주변,불법주정차구역
종로구 서린동 127,37.569288576007295,126.97949909779044,종로구,모전교(청계천로) 주변,불법주정차구역
종로구 종로5가 332-16,37.56985345331272,127.00242379121356,종로구,청계5가 마전교(청계천로) 주변,불법주정차구역
